term,area_of_law,priority_1_to_5,common_in_year,aliases,confusion_with
Offer,Contract,5,Foundation/Year1,Proposal,Invitation to treat
Acceptance,Contract,5,Foundation/Year1,Agreement,Counter-offer
Consideration,Contract,5,Foundation/Year1,Quid pro quo,Gratuitous promise
Invitation to treat,Contract,4,Year1,Preliminary negotiation,Offer
Counter-offer,Contract,4,Year1,Modified proposal,Acceptance
Mirror-image rule,Contract,3,Year1,,Battle of the forms
Postal rule,Contract,3,Year1/Year2,Adams v Lindsell rule,Receipt rule
Privity of contract,Contract,4,Year1/Year2,,Third party rights
Misrepresentation,Contract,4,Year1/Year2,False statement,Mistake
Fraudulent misrepresentation,Contract,3,Year2,Deceit,Negligent misrepresentation
Negligent misrepresentation,Contract,3,Year2,,Innocent misrepresentation
Innocent misrepresentation,Contract,3,Year2,,Fraudulent misrepresentation
Rescission,Contract/Equity,4,Year1/Year2,Setting aside,Termination
Affirmation,Contract,3,Year2,Ratification,Rescission
Frustration,Contract,3,Year2,Impossibility,Breach
Breach of contract,Contract,5,Foundation/Year1,,Performance
Repudiatory breach,Contract,3,Year2,Fundamental breach,Minor breach
Anticipatory breach,Contract,3,Year2,Anticipatory repudiation,Actual breach
Damages,Contract/Tort,5,Year1,Monetary compensation,Specific performance
Expectation damages,Contract,3,Year2,Loss of bargain,Reliance damages
Reliance damages,Contract,3,Year2,,Expectation damages
Remoteness,Contract/Tort,3,Year2,,Causation
Mitigation,Contract,3,Year2,Duty to mitigate,
Specific performance,Contract/Equity,4,Year2,Court order to perform,Damages
Injunction,Equity/Tort,4,Year2,Court order to restrain,Damages
Capacity,Contract,4,Year1,Legal ability to contract,
Intention to create legal relations,Contract,5,Year1,Contractual intention,
Duress,Contract/Criminal,3,Year2,Compulsion,Undue influence
Undue influence,Contract/Equity,3,Year2,,Duress
Mistake,Contract,3,Year2,Common/mutual/unilateral mistake,Misrepresentation
Void contract,Contract,4,Year1,Null ab initio,Voidable contract
Voidable contract,Contract,4,Year1,Contract capable of rescission,Void contract
Terms of contract,Contract,4,Year1,Contractual provisions,
Condition,Contract,3,Year1/Year2,Essential term,Warranty
Warranty,Contract,3,Year1/Year2,Minor term,Condition
Innominate term,Contract,3,Year2,Intermediate term,
